Primary ID,Date,Oil type,Manufacturer,Batch number,Spectra number,0.88 ppm,0.89 ppm,0.90 ppm,0.98 ppm,1.31 ppm,1.36 ppm,1.61 ppm,1.68 ppm,2.05 ppm,2.01 ppm,2.19 ppm,2.31 ppm,2.77 ppm,4.14 ppm,4.29 ppm,5.12 ppm,5.26 ppm,5.34 ppm,5.43 ppm,5.69 ppm,6.05 ppm,6.45 ppm
1,"October 07, 2025",Amaranth oil,A,43739,1,125.47,15.67,12.34,11.18,5306.83,565.27,837.44,73.93,537.41,526.74,12.03,605.74,289.95,212.43,207.07,6.5,98.21,690.85,15.09,0.17,0.14,0.34
2,"October 07, 2025",Amaranth oil,A,43739,2,118.1,12.61,13.6,10.3,4961.43,543.99,798.57,73.89,493.14,559.02,10.17,576.95,278.62,202.45,200.15,6.18,93.73,657.26,14.8,0.16,0.13,0.34
3,"October 08, 2025",Amaranth oil,A,43739,3,120.78,14.86,12.87,10.92,5138.0,565.93,828.82,72.39,523.22,511.93,10.83,593.72,288.63,204.0,204.26,6.55,95.49,674.88,16.99,0.23,0.13,0.32
4,"October 10, 2025",Amaranth oil,B,43466,4,123.53,13.89,13.74,10.57,5255.57,534.17,828.79,85.3,532.51,511.78,10.76,586.82,281.73,207.87,197.6,,,658.6,14.73,0.13,0.1,
5,2025-11-02,Amaranth oil,B,43466,5,131.93,14.88,15.07,11.6,5660.95,594.31,886.85,88.52,570.69,605.27,11.31,621.07,,221.07,210.26,6.17,98.52,702.16,19.6,0.14,0.21,0.22
6,2025-11-02,Amaranth oil,B,43466,6,128.88,14.49,13.45,10.85,5366.56,569.22,851.96,89.92,554.32,534.2,10.22,610.95,291.94,214.2,205.73,6.77,96.65,684.86,16.09,0.05,0.1,0.19
7,2025-11-02,Amaranth oil,C,43497,7,127.58,14.95,13.13,10.56,5287.09,556.39,836.7,79.78,546.41,519.46,10.6,602.51,287.16,212.36,203.01,6.24,99.95,728.06,64.56,0.12,0.22,
8,2025-11-12,Amaranth oil,C,43497,8,,14.94,13.43,11.6,5391.6,564.24,844.4,78.28,558.54,526.26,10.96,616.92,291.22,216.78,206.88,5.72,98.39,690.36,15.73,0.16,0.15,0.22
9,2025-11-12,Amaranth oil,C,43497,9,124.98,14.62,13.25,11.55,5250.87,535.08,815.44,78.03,526.23,560.75,10.97,592.12,278.87,208.11,198.47,5.95,95.22,662.68,14.19,0.11,0.12,0.25
10,"October 07, 2025",Amaranth oil,B,43739,10,127.89,14.89,13.16,10.54,5282.84,556.92,837.42,79.54,547.18,520.83,10.6,601.68,287.37,212.4,203.01,6.22,100.11,728.73,64.16,0.12,0.22,
11,2025-11-02,Amaranth oil,B,43466,11,123.42,13.91,13.75,10.58,5249.73,534.42,829.52,85.31,531.29,510.36,10.74,586.37,281.16,207.9,197.6,,,658.79,15.81,0.13,0.1,
12,"October 07, 2025",Amaranth oil,B,43497,12,,15.03,13.46,11.61,5407.39,563.68,844.39,78.43,556.88,526.99,11.0,616.95,291.28,216.99,206.92,5.72,98.21,688.91,17.5,0.16,0.15,0.22
13,2025-11-02,Amaranth oil,B,43497,13,131.83,14.84,15.14,11.61,5664.57,594.12,885.81,88.96,572.07,604.51,11.32,620.48,,221.21,210.23,6.16,98.39,702.57,19.32,0.14,0.21,0.22
14,2025-11-02,Amaranth oil,C,43739,14,127.77,14.93,13.12,10.65,5275.82,555.95,836.79,80.07,546.77,518.32,10.57,602.25,286.78,212.42,202.89,6.26,99.89,728.72,64.22,0.12,0.22,
15,"October 07, 2025",Amaranth oil,C,43497,15,120.85,14.86,12.84,10.93,5146.21,565.4,828.03,73.05,522.41,511.78,10.82,594.41,288.92,203.78,204.15,6.54,95.49,675.49,18.11,0.23,0.13,0.32
16,"October 08, 2025",Amaranth oil,C,43739,16,127.47,14.93,13.1,10.59,5306.07,557.15,837.83,79.54,548.09,517.97,10.58,602.11,287.25,212.49,203.0,6.22,100.0,729.23,65.77,0.12,0.22,
17,"October 08, 2025",Amaranth oil,A,43466,17,,14.88,13.4,11.62,5400.83,564.56,844.23,78.55,558.67,525.46,10.92,617.49,291.11,217.31,206.77,5.7,98.32,691.27,15.33,0.16,0.15,0.22
18,2025-11-02,Amaranth oil,B,43739,18,131.95,14.88,15.07,11.62,5647.36,593.69,885.89,88.58,571.97,603.55,11.33,620.3,,221.45,210.12,6.18,98.54,702.66,19.28,0.14,0.21,0.22
19,"October 07, 2025",Amaranth oil,B,43497,19,123.73,13.85,13.75,10.56,5251.24,534.98,828.42,85.97,532.58,514.61,10.81,587.18,282.31,208.32,197.62,,,658.52,14.51,0.13,0.1,
20,"October 08, 2025",Amaranth oil,C,43466,20,,14.96,13.44,11.62,5402.93,564.52,844.88,78.03,560.77,526.31,10.92,617.91,291.27,216.64,206.83,5.75,98.33,688.55,14.7,0.16,0.15,0.22
21,"October 07, 2025",Amaranth oil,B,43739,21,,14.9,13.46,11.58,5385.27,564.97,843.75,78.02,560.44,525.25,10.98,615.23,291.28,216.5,207.18,5.69,98.25,690.83,15.02,0.16,0.15,0.22
22,"October 07, 2025",Amaranth oil,B,43739,22,120.7,14.92,12.87,10.91,5141.97,566.49,827.87,72.21,522.95,512.24,10.81,593.17,288.51,203.96,203.73,6.58,95.4,675.11,16.22,0.23,0.13,0.32
23,"October 07, 2025",Amaranth oil,C,43466,23,128.58,14.46,13.5,10.84,5373.49,568.48,852.24,89.27,555.37,534.04,10.21,611.35,291.72,214.22,205.95,6.77,96.52,685.16,15.5,0.05,0.1,0.19
