Step,Atom_i,Atom_j,Element_i,Element_j,Bond_type,Distance_A
0,1,2,H,C,C-H,1.117978756506581
0,2,3,C,O,C-O,1.235848639599527
0,2,4,C,O,C-O,1.3062588526015833
0,4,5,O,H,O-H,1.0389208776417966
0,6,7,H,O,O-H,1.0389150542753731
0,7,8,O,C,C-O,1.3061437133791975
0,8,9,C,O,C-O,1.2358767495183325
0,8,10,C,H,C-H,1.1180844780248045
100,1,2,H,C,C-H,1.1255248064791825
100,2,3,C,O,C-O,1.2344082144898436
100,2,4,C,O,C-O,1.3026470511999797
100,4,5,O,H,O-H,1.0325052106406045
100,6,7,H,O,O-H,1.025039111448923
100,7,8,O,C,C-O,1.3249078043396068
100,8,9,C,O,C-O,1.2437847321783628
100,8,10,C,H,C-H,1.1311868103898668
200,1,2,H,C,C-H,1.1128066049408596
200,2,3,C,O,C-O,1.2431778070734698
200,2,4,C,O,C-O,1.2989324154858866
200,4,5,O,H,O-H,1.0220400236781342
200,6,7,H,O,O-H,1.0104900246909918
200,7,8,O,C,C-O,1.3414921468275545
200,8,9,C,O,C-O,1.2573485356097571
200,8,10,C,H,C-H,1.1056428085055323
300,1,2,H,C,C-H,1.13335299884899
300,2,3,C,O,C-O,1.2334143504921602
300,2,4,C,O,C-O,1.3213671859101095
300,4,5,O,H,O-H,1.0746652781215187
300,6,7,H,O,O-H,1.0775281806059642
300,7,8,O,C,C-O,1.3423701836676805
300,8,9,C,O,C-O,1.25819247335215
300,8,10,C,H,C-H,1.137416396927703
400,1,2,H,C,C-H,1.1108808036868743
400,2,3,C,O,C-O,1.2219236023581839
400,2,4,C,O,C-O,1.3464704452753504
400,4,5,O,H,O-H,1.0892573479210503
400,6,7,H,O,O-H,1.0638515215950017
400,7,8,O,C,C-O,1.3484989321464085
400,8,9,C,O,C-O,1.2273379119052736
400,8,10,C,H,C-H,1.1025458629916487
500,1,2,H,C,C-H,1.1413364885081014
500,2,3,C,O,C-O,1.2398397114143416
500,2,4,C,O,C-O,1.3312823629869064
500,4,5,O,H,O-H,1.0935588232920996
500,6,7,H,O,O-H,1.0785032452431467
500,7,8,O,C,C-O,1.303344582219147
500,8,9,C,O,C-O,1.2329143765890633
500,8,10,C,H,C-H,1.1419172912255948
600,1,2,H,C,C-H,1.1050459945178748
600,2,3,C,O,C-O,1.2434270625975616
600,2,4,C,O,C-O,1.322458698787982
600,4,5,O,H,O-H,1.0613526228355958
600,6,7,H,O,O-H,1.0455560243239013
600,7,8,O,C,C-O,1.290153731149897
600,8,9,C,O,C-O,1.2252179969295256
600,8,10,C,H,C-H,1.1108551165656122
700,1,2,H,C,C-H,1.13950463360181
700,2,3,C,O,C-O,1.2568697665231663
700,2,4,C,O,C-O,1.2988552652239604
700,4,5,O,H,O-H,1.0301855512479294
700,6,7,H,O,O-H,0.9819249920436887
700,7,8,O,C,C-O,1.27721800801586
700,8,9,C,O,C-O,1.2479539815233573
700,8,10,C,H,C-H,1.1163747309931364
800,1,2,H,C,C-H,1.1113898460936227
800,2,3,C,O,C-O,1.2283961657380729
800,2,4,C,O,C-O,1.279254458659415
800,4,5,O,H,O-H,1.0372162021488103
800,6,7,H,O,O-H,1.0079894146269595
800,7,8,O,C,C-O,1.2886867617850326
800,8,9,C,O,C-O,1.224956668621385
800,8,10,C,H,C-H,1.136209153281209
900,1,2,H,C,C-H,1.1240572983616095
900,2,3,C,O,C-O,1.2154626526553587
900,2,4,C,O,C-O,1.2635934037497978
900,4,5,O,H,O-H,1.017327759377478
900,6,7,H,O,O-H,1.1258609239155601
900,7,8,O,C,C-O,1.3026991402468961
900,8,9,C,O,C-O,1.2252130794274103
900,8,10,C,H,C-H,1.1167062012902047
1000,1,2,H,C,C-H,1.1176542354413568
1000,2,3,C,O,C-O,1.231499252943338
1000,2,4,C,O,C-O,1.255947916913754
1000,4,5,O,H,O-H,1.0107026714123208
1000,6,7,H,O,O-H,1.1144558358230243
1000,7,8,O,C,C-O,1.322705382917904
1000,8,9,C,O,C-O,1.238585685368598
1000,8,10,C,H,C-H,1.1618382331460777
1100,1,2,H,C,C-H,1.113221119095396
1100,2,3,C,O,C-O,1.2223084103449495
1100,2,4,C,O,C-O,1.27692265231689
1100,4,5,O,H,O-H,0.9992106784857735
1100,6,7,H,O,O-H,1.0992563531770019
1100,7,8,O,C,C-O,1.3302823910734152
1100,8,9,C,O,C-O,1.2541277486763454
1100,8,10,C,H,C-H,1.0993184661416375
1200,1,2,H,C,C-H,1.1188151992174606
1200,2,3,C,O,C-O,1.2244292302946709
1200,2,4,C,O,C-O,1.295854663918759
1200,4,5,O,H,O-H,1.0302471451064537
1200,6,7,H,O,O-H,1.046016228363594
1200,7,8,O,C,C-O,1.3269297042420887
1200,8,9,C,O,C-O,1.2294539153624253
1200,8,10,C,H,C-H,1.1563435518910474
1300,1,2,H,C,C-H,1.123279760344678
1300,2,3,C,O,C-O,1.2201037373928496
1300,2,4,C,O,C-O,1.3175916400766972
1300,4,5,O,H,O-H,1.0718669180453326
1300,6,7,H,O,O-H,1.0446750212386617
1300,7,8,O,C,C-O,1.3002346288266589
1300,8,9,C,O,C-O,1.2259464507065554
1300,8,10,C,H,C-H,1.0912555887600301
1400,1,2,H,C,C-H,1.1207818967131808
1400,2,3,C,O,C-O,1.2416185001843356
1400,2,4,C,O,C-O,1.3144078552717202
1400,4,5,O,H,O-H,1.05714773801962
1400,6,7,H,O,O-H,1.0292854657479638
1400,7,8,O,C,C-O,1.2722368529483832
1400,8,9,C,O,C-O,1.2327898036567304
1400,8,10,C,H,C-H,1.1401933432536793
1500,1,2,H,C,C-H,1.1084590249531097
1500,2,3,C,O,C-O,1.2437044061994784
1500,2,4,C,O,C-O,1.3274149388943923
1500,4,5,O,H,O-H,1.0197558776491567
1500,6,7,H,O,O-H,1.08045383982843
1500,7,8,O,C,C-O,1.273765790873659
1500,8,9,C,O,C-O,1.2215229347007768
1500,8,10,C,H,C-H,1.0938381827308852
1600,1,2,H,C,C-H,1.108546958861014
1600,2,3,C,O,C-O,1.2447796029819889
1600,2,4,C,O,C-O,1.3270388012413201
1600,4,5,O,H,O-H,1.0441567985700226
1600,6,7,H,O,O-H,1.1038773573182834
1600,7,8,O,C,C-O,1.283122055768662
1600,8,9,C,O,C-O,1.228256626279704
1600,8,10,C,H,C-H,1.147236518770214
1700,1,2,H,C,C-H,1.1085971360237241
1700,2,3,C,O,C-O,1.2361153910537641
1700,2,4,C,O,C-O,1.329269476065708
1700,4,5,O,H,O-H,1.0277329906157548
1700,6,7,H,O,O-H,1.101890725072138
1700,7,8,O,C,C-O,1.3071428613583131
1700,8,9,C,O,C-O,1.2290225791253802
1700,8,10,C,H,C-H,1.0990382067971964
1800,1,2,H,C,C-H,1.1265576017230539
1800,2,3,C,O,C-O,1.2306211846055626
1800,2,4,C,O,C-O,1.309956358051673
1800,4,5,O,H,O-H,1.0836386621009801
1800,6,7,H,O,O-H,1.061631428509913
1800,7,8,O,C,C-O,1.3245937981132192
1800,8,9,C,O,C-O,1.2214003274929952
1800,8,10,C,H,C-H,1.1397700952385108
1900,1,2,H,C,C-H,1.1324207080409658
1900,2,3,C,O,C-O,1.2163160526770969
1900,2,4,C,O,C-O,1.3094929743988706
1900,4,5,O,H,O-H,1.0871663580151838
1900,6,7,H,O,O-H,1.0090625203623411
1900,7,8,O,C,C-O,1.3376272425455449
1900,8,9,C,O,C-O,1.2249429129555374
1900,8,10,C,H,C-H,1.1164162351023033
2000,1,2,H,C,C-H,1.1202757919369684
2000,2,3,C,O,C-O,1.230975194713525
2000,2,4,C,O,C-O,1.291993796424736
2000,4,5,O,H,O-H,1.0296261166073832
2000,6,7,H,O,O-H,1.0308083187479606
2000,7,8,O,C,C-O,1.3308163847804109
2000,8,9,C,O,C-O,1.2623691734195668
2000,8,10,C,H,C-H,1.1166284879045476
2100,1,2,H,C,C-H,1.1108725579471304
2100,2,3,C,O,C-O,1.2375484273352686
2100,2,4,C,O,C-O,1.287041125994038
2100,4,5,O,H,O-H,0.9916003277530729
2100,6,7,H,O,O-H,1.10535927643459
2100,7,8,O,C,C-O,1.3227758464683284
2100,8,9,C,O,C-O,1.24012196980781
