Step,Temp,PotEng,KinEng,TotEng,Press,Volume
0,298.0,-10309.778,0.34667571,-10309.431,13.161868,27000.0
100,230.57508,-10309.677,0.26823751,-10309.409,-27.712357,27000.0
200,217.96815,-10309.587,0.25357136,-10309.334,-23.396858,27000.0
300,206.12776,-10309.498,0.23979693,-10309.258,-136.48707,27000.0
400,156.4639,-10309.386,0.18202092,-10309.204,-72.532722,27000.0
500,217.59955,-10309.405,0.25314254,-10309.152,-84.287215,27000.0
600,264.53085,-10309.398,0.30773966,-10309.09,73.176638,27000.0
700,321.34921,-10309.398,0.37383881,-10309.025,81.080063,27000.0
800,361.5358,-10309.395,0.42058953,-10308.974,172.51474,27000.0
900,334.09255,-10309.33,0.38866366,-10308.942,170.01712,27000.0
1000,302.45664,-10309.299,0.3518603,-10308.948,72.004564,27000.0
1100,310.8983,-10309.37,0.36168084,-10309.008,67.501795,27000.0
1200,297.21153,-10309.47,0.34575845,-10309.125,0.9455477,27000.0
1300,260.07755,-10309.533,0.30255896,-10309.231,54.536058,27000.0
1400,274.24269,-10309.585,0.31903785,-10309.266,36.328539,27000.0
1500,176.40967,-10309.468,0.20522465,-10309.262,54.384538,27000.0
1600,240.59017,-10309.504,0.27988848,-10309.224,-18.513391,27000.0
1700,279.52746,-10309.493,0.32518584,-10309.168,-24.096936,27000.0
1800,334.19839,-10309.492,0.38878679,-10309.103,-72.331471,27000.0
1900,375.07078,-10309.5,0.43633534,-10309.064,9.0400307,27000.0
2000,383.54206,-10309.496,0.44619032,-10309.049,-47.830362,27000.0
2100,270.87791,-10309.358,0.31512346,-10309.043,-38.058934,27000.0
2200,231.45112,-10309.318,0.26925665,-10309.049,43.841401,27000.0
2300,265.99104,-10309.367,0.30943836,-10309.058,-60.346555,27000.0
2400,231.64349,-10309.346,0.26948044,-10309.077,-135.85524,27000.0
2500,288.8362,-10309.443,0.33601508,-10309.107,-169.9514,27000.0
2600,262.53701,-10309.473,0.30542014,-10309.168,-128.74461,27000.0
2700,217.71725,-10309.502,0.25327947,-10309.249,-73.096285,27000.0
2800,201.46012,-10309.535,0.23436688,-10309.3,-115.99013,27000.0
2900,138.65116,-10309.48,0.16129863,-10309.319,-69.409034,27000.0
3000,236.4315,-10309.567,0.27505053,-10309.292,-28.830232,27000.0
3100,324.35785,-10309.584,0.37733888,-10309.207,78.702559,27000.0
3200,293.6552,-10309.428,0.34162122,-10309.086,99.210067,27000.0
3300,321.14258,-10309.401,0.37359843,-10309.028,100.75818,27000.0
3400,215.05976,-10309.255,0.2501879,-10309.005,18.158922,27000.0
3500,228.42787,-10309.269,0.26573957,-10309.003,141.33567,27000.0
3600,163.64064,-10309.213,0.19036992,-10309.022,235.36553,27000.0
3700,297.36825,-10309.405,0.34594077,-10309.059,153.72326,27000.0
3800,276.49378,-10309.439,0.32165663,-10309.117,147.69973,27000.0
3900,208.66126,-10309.438,0.24274427,-10309.195,36.649116,27000.0
4000,169.45888,-10309.467,0.19713852,-10309.27,74.98438,27000.0
4100,167.19623,-10309.511,0.19450628,-10309.317,-18.465236,27000.0
4200,248.78458,-10309.617,0.28942138,-10309.328,27.434391,27000.0
4300,252.44106,-10309.58,0.29367512,-10309.286,-42.236301,27000.0
4400,312.70822,-10309.501,0.36378639,-10309.137,-21.960934,27000.0
4500,353.80663,-10309.436,0.41159786,-10309.024,-107.91101,27000.0
4600,384.33501,-10309.426,0.4471128,-10308.979,16.730899,27000.0
4700,371.06313,-10309.403,0.43167307,-10308.971,-47.651087,27000.0
4800,346.66114,-10309.395,0.40328522,-10308.991,-149.71091,27000.0
4900,305.94616,-10309.393,0.35591981,-10309.037,-85.056783,27000.0
5000,219.74426,-10309.365,0.25563758,-10309.109,-127.37231,27000.0
5100,270.95379,-10309.49,0.31521173,-10309.175,-146.23389,27000.0
5200,186.14368,-10309.442,0.21654863,-10309.226,-49.012421,27000.0
5300,264.29354,-10309.561,0.30746359,-10309.253,-45.106149,27000.0
5400,270.52316,-10309.569,0.31471077,-10309.254,4.6464158,27000.0
5500,303.39015,-10309.548,0.35294629,-10309.195,-31.038444,27000.0
5600,422.71227,-10309.55,0.49175864,-10309.058,85.767424,27000.0
5700,361.74724,-10309.364,0.42083551,-10308.943,70.352784,27000.0
5800,396.96661,-10309.36,0.46180766,-10308.898,117.13894,27000.0
5900,371.01174,-10309.341,0.43161328,-10308.909,27.302773,27000.0
6000,254.3269,-10309.258,0.29586899,-10308.962,31.537161,27000.0
6100,178.83663,-10309.263,0.20804804,-10309.055,83.386596,27000.0
6200,251.6618,-10309.434,0.29276856,-10309.141,-80.772498,27000.0
6300,275.99579,-10309.515,0.3210773,-10309.194,48.547913,27000.0
6400,302.912,-10309.564,0.35239004,-10309.211,-44.328795,27000.0
6500,233.82481,-10309.472,0.27201806,-10309.2,76.636655,27000.0
6600,169.14978,-10309.366,0.19677892,-10309.169,49.569066,27000.0
6700,249.42709,-10309.426,0.29016883,-10309.136,147.1602,27000.0
6800,204.09491,-10309.353,0.23743204,-10309.116,163.57583,27000.0
6900,261.15542,-10309.404,0.30381289,-10309.1,103.19065,27000.0
7000,166.13887,-10309.282,0.1932762,-10309.089,84.89484,27000.0
7100,209.12585,-10309.315,0.24328474,-10309.072,24.963537,27000.0
7200,355.74284,-10309.469,0.41385033,-10309.055,14.660967,27000.0
7300,359.1824,-10309.454,0.41785173,-10309.036,-40.878981,27000.0
7400,525.68371,-10309.623,0.61154958,-10309.011,-33.046663,27000.0
7500,433.1545,-10309.483,0.50390652,-10308.979,-31.14015,27000.0
7600,480.14115,-10309.509,0.55856803,-10308.95,-120.62664,27000.0
7700,285.64988,-10309.276,0.3323083,-10308.944,152.71573,27000.0
7800,276.36955,-10309.302,0.32151211,-10308.981,86.024632,27000.0
7900,255.32658,-10309.357,0.29703196,-10309.06,-10.842114,27000.0
8000,224.87408,-10309.414,0.26160531,-10309.152,-41.760446,27000.0
8100,214.77706,-10309.46,0.24985903,-10309.21,-76.25494,27000.0
8200,186.33587,-10309.456,0.21677221,-10309.239,-10.421204,27000.0
8300,229.39458,-10309.5,0.26686419,-10309.233,-61.476756,27000.0
8400,315.13659,-10309.556,0.36661141,-10309.19,-23.983153,27000.0
8500,478.92514,-10309.611,0.55715339,-10309.054,-82.677125,27000.0
8600,452.04667,-10309.437,0.52588456,-10308.912,57.673377,27000.0
8700,364.86951,-10309.296,0.42446777,-10308.871,-167.33022,27000.0
8800,424.79098,-10309.394,0.49417689,-10308.9,132.16106,27000.0
8900,378.88263,-10309.408,0.44076981,-10308.967,3.6659706,27000.0
9000,439.05452,-10309.552,0.51077025,-10309.041,84.029686,27000.0
9100,261.37754,-10309.416,0.30407128,-10309.112,60.869544,27000.0
9200,270.76411,-10309.47,0.31499107,-10309.155,65.230689,27000.0
9300,273.6329,-10309.494,0.31832846,-10309.176,-8.0087326,27000.0
9400,244.19739,-10309.459,0.28408491,-10309.175,35.57917,27000.0
9500,251.77661,-10309.436,0.29290213,-10309.144,17.759656,27000.0
9600,216.66827,-10309.256,0.25205915,-10309.004,24.526043,27000.0
9700,244.22433,-10309.101,0.28411626,-10308.816,160.94047,27000.0
9800,293.25551,-10309.108,0.34115625,-10308.766,100.99292,27000.0
9900,455.70701,-10309.351,0.53014278,-10308.821,158.73205,27000.0
10000,303.78751,-10309.288,0.35340856,-10308.934,129.25634,27000.0
