# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.70e+01    3.13e+01      1.01e-01    1.09e-01      8.53e-01    9.89e-01    1.0e-03
   1000      4.60e+00    5.60e+00      5.25e-01    5.27e-01      1.45e-01    1.77e-01    1.0e-03
   2000      2.85e+00    4.31e+00      1.12e-01    1.14e-01      9.03e-02    1.36e-01    1.0e-03
   3000      2.05e+00    3.13e+00      1.23e-02    1.28e-02      6.48e-02    9.90e-02    1.0e-03
   4000      2.30e+00    1.92e+00      1.50e-03    2.65e-03      7.28e-02    6.07e-02    1.0e-03
   5000      9.76e-01    1.55e+00      1.39e-02    1.42e-02      5.14e-02    8.20e-02    3.6e-04
   6000      8.11e-01    1.09e+00      5.97e-04    8.10e-04      4.28e-02    5.74e-02    3.6e-04
   7000      7.55e-01    1.04e+00      2.11e-03    1.50e-03      3.98e-02    5.50e-02    3.6e-04
   8000      7.41e-01    1.13e+00      1.55e-03    2.27e-03      3.91e-02    5.98e-02    3.6e-04
   9000      8.54e-01    1.16e+00      4.92e-03    5.58e-03      4.51e-02    6.10e-02    3.6e-04
  10000      4.76e-01    6.59e-01      2.31e-03    2.23e-03      4.18e-02    5.79e-02    1.3e-04
  11000      3.45e-01    4.77e-01      4.91e-04    8.75e-04      3.04e-02    4.19e-02    1.3e-04
  12000      3.94e-01    4.65e-01      3.26e-04    4.04e-04      3.47e-02    4.09e-02    1.3e-04
  13000      4.09e-01    5.39e-01      3.89e-03    3.80e-03      3.59e-02    4.73e-02    1.3e-04
  14000      3.83e-01    4.30e-01      2.85e-03    3.30e-03      3.36e-02    3.78e-02    1.3e-04
  15000      2.06e-01    2.83e-01      1.81e-03    1.66e-03      3.00e-02    4.12e-02    4.6e-05
  16000      2.00e-01    2.97e-01      2.36e-04    4.10e-04      2.92e-02    4.33e-02    4.6e-05
  17000      2.18e-01    2.70e-01      2.63e-03    2.39e-03      3.17e-02    3.93e-02    4.6e-05
  18000      2.04e-01    2.55e-01      7.86e-04    8.11e-04      2.97e-02    3.71e-02    4.6e-05
  19000      1.78e-01    2.90e-01      3.06e-03    2.44e-03      2.60e-02    4.23e-02    4.6e-05
  20000      1.12e-01    1.69e-01      9.75e-04    9.25e-04      2.69e-02    4.04e-02    1.7e-05
  21000      1.03e-01    1.35e-01      1.36e-03    1.40e-03      2.46e-02    3.23e-02    1.7e-05
  22000      1.09e-01    1.46e-01      3.79e-04    3.92e-04      2.60e-02    3.48e-02    1.7e-05
  23000      1.03e-01    1.58e-01      5.34e-04    6.94e-04      2.46e-02    3.77e-02    1.7e-05
  24000      9.35e-02    1.59e-01      4.61e-04    7.40e-04      2.23e-02    3.81e-02    1.7e-05
  25000      8.35e-02    8.34e-02      2.21e-04    3.85e-04      3.18e-02    3.17e-02    5.9e-06
  26000      6.49e-02    8.87e-02      3.99e-04    6.56e-04      2.47e-02    3.37e-02    5.9e-06
  27000      6.77e-02    1.06e-01      9.21e-04    1.07e-03      2.57e-02    4.02e-02    5.9e-06
  28000      8.19e-02    7.75e-02      2.71e-04    2.46e-04      3.11e-02    2.94e-02    5.9e-06
  29000      7.13e-02    1.03e-01      1.03e-03    1.27e-03      2.71e-02    3.92e-02    5.9e-06
  30000      4.50e-02    7.76e-02      5.53e-04    7.63e-04      2.54e-02    4.39e-02    2.1e-06
  31000      4.26e-02    4.93e-02      4.03e-04    4.37e-04      2.41e-02    2.79e-02    2.1e-06
  32000      4.23e-02    6.14e-02      2.85e-04    2.84e-04      2.39e-02    3.48e-02    2.1e-06
  33000      4.75e-02    5.77e-02      3.86e-04    4.35e-04      2.69e-02    3.26e-02    2.1e-06
  34000      4.17e-02    5.83e-02      2.52e-04    4.78e-04      2.36e-02    3.30e-02    2.1e-06
  35000      3.62e-02    5.27e-02      5.23e-04    3.89e-04      2.73e-02    3.97e-02    7.6e-07
  36000      3.85e-02    3.99e-02      3.27e-04    2.72e-04      2.90e-02    3.00e-02    7.6e-07
  37000      3.54e-02    4.59e-02      1.89e-04    3.56e-04      2.67e-02    3.46e-02    7.6e-07
  38000      2.77e-02    4.02e-02      3.29e-04    2.58e-04      2.09e-02    3.03e-02    7.6e-07
  39000      3.43e-02    4.50e-02      3.06e-04    3.99e-04      2.58e-02    3.39e-02    7.6e-07
  40000      2.92e-02    4.14e-02      3.78e-04    3.05e-04      2.59e-02    3.67e-02    2.7e-07
  41000      2.47e-02    4.09e-02      1.63e-04    4.30e-04      2.19e-02    3.62e-02    2.7e-07
  42000      2.52e-02    3.83e-02      2.39e-04    2.93e-04      2.24e-02    3.39e-02    2.7e-07
  43000      2.82e-02    3.85e-02      2.24e-04    3.94e-04      2.50e-02    3.41e-02    2.7e-07
  44000      2.94e-02    4.59e-02      2.71e-04    4.50e-04      2.60e-02    4.07e-02    2.7e-07
  45000      2.84e-02    3.96e-02      2.38e-04    2.39e-04      2.71e-02    3.78e-02    9.8e-08
  46000      2.92e-02    3.92e-02      1.59e-04    2.48e-04      2.79e-02    3.74e-02    9.8e-08
  47000      2.30e-02    3.26e-02      2.05e-04    4.85e-04      2.19e-02    3.11e-02    9.8e-08
  48000      2.11e-02    3.59e-02      1.59e-04    5.05e-04      2.01e-02    3.42e-02    9.8e-08
  49000      2.51e-02    4.06e-02      2.45e-04    2.20e-04      2.40e-02    3.88e-02    9.8e-08
  50000      2.19e-02    3.45e-02      8.58e-05    4.63e-04      2.15e-02    3.38e-02    3.5e-08
